OBJECTID,NAME,FIPS,Expend,PopTot,PopMed,PopDens,Partic,Ozone,Grass,Shrub,Forest,Agricult,UrbanVeg,Wetlands,OpenSpace,Crops,Pasture
1,Alameda,06001,7642.896,1510271,92524,2029.8,6,10,32.3026,7.5676,17.9034,1.6680652,5.5866913,1.3503184,4.1452,1.227749,0.4403162
2,Amador,06005,8295.77,38091,7000.8,62.9,3,18,30.38,18.5436,43.7416,1.283138,13.8188239,0.1281738,7.229,0.8339172,0.4492208
3,Butte,06007,8635.768,220000,41345.8,131.2,7,33,17.3226,7.4334,40.9437,24.0173579,15.1145772,1.8759403,11.6447,22.8787686,1.1385893
4,Calaveras,06009,8221.332,45578,9145.8,44,1,35,30.1062,18.9544,45.2342,0.1131011,2.9123681,0.2583149,2.3323,0.0757037,0.0373974
5,Colusa,06011,7557.986,21419,2879.2,18.5,2,1,19.8628,22.5932,4.8307,43.4766834,1.3176664,4.4708408,1.0802,42.635404,0.8412794
6,Contra Costa,06013,8210.918,1049025,73911,1380.9,6,14,30.6688,2.6117,14.4235,10.5818367,2.3059488,2.6078076,1.9579,7.6725832,2.9092535
7,Del Norte,06015,7417.774,28610,4784.6,28.2,5,0,1.744,11.0029,79.202,1.2785043,7.1295294,0.9954352,4.4051,0.2650744,1.0134299
8,El Dorado,06017,8430.928,181058,21240.6,101.4,4,61,8.8848,20.1921,60.9542,0.0268909,8.2832167,0.3163185,5.4794,0.0158936,0.0109973
9,Glenn,06021,8438.734,28122,4478.2,21.2,4,0,28.9086,18.3732,12.4642,31.772689,6.3985842,2.509044,3.9869,28.2636191,3.5090699
10,Humboldt,06023,7515.978,134623,22696.8,37.6,4,0,7.2051,11.3032,74.0331,1.6688663,6.5388321,0.6087982,4.414,0.0564221,1.6124442
11,Kings,06031,8528.964,152982,11937.2,109.9,18,46,16.8305,1.8234,0.2105,70.6699591,2.7589049,0.1915607,2.3901,62.5673758,8.1025833
12,Lake,06033,8241.89,64665,13659.8,48.6,4,0,8.0731,48.9355,29.9616,1.8460126,2.6652742,0.4685601,2.5747,1.4035923,0.4424203
13,Lassen,06035,8785.936,34895,4076.4,7.4,0,0,5.1688,56.3211,28.3381,3.8870972,1.2557692,1.0738151,0.9874,1.4922794,2.3948178
14,Marin,06041,8989.166,252409,28143.6,480.2,6,0,31.8715,13.4893,28.056,0.9009841,5.3532025,3.940226,3.6592,0.6001643,0.3008198
15,Mariposa,06043,8704.252,18251,3585.2,12.5,0,38,28.0741,24.5132,42.8983,0.00156427,5.2231441,0.0990396,4.3086,0.00156427,0
